stratum,band,forest_2000_ha,loss_ha,loss_pct_of_baseline
elevation_m,0-100,444277.4614731178,65937.82386440175,14.841586526979716
elevation_m,100-300,474966.31346384605,111116.50047571633,23.39460659122605
elevation_m,300-600,119890.0825487791,27337.3498006876,22.802010991663956
elevation_m,600-1000,25053.819892470445,5807.477848575174,23.180009569401133
elevation_m,1000-9999,13.291774088637386,0.2511690529497932,1.889657853608178
slope_deg,0-5,175280.7698794837,31724.93544451619,18.09949572125284
slope_deg,5-15,518503.1052991629,105936.47900183407,20.431213992578012
slope_deg,15-30,324667.37885437673,67618.36021839066,20.826964648246836
slope_deg,30-90,43804.68357449105,4551.647820524592,10.390778905603534
