year,intact_mean,intact_count,c2014_mean,c2014_count,c2015_mean,c2015_count,c2016_mean,c2016_count,c2017_mean,c2017_count,c2018_mean,c2018_count
2013,,0,0.7635209488645934,27341,0.7846884859412202,25464,0.7790432132218166,37943,0.7718118598534169,52436,0.7705934523046216,36933
2014,,0,0.7234122985811451,27341,0.7775888601146063,25464,0.7862421377919268,37943,0.7854657140383217,52436,0.7812322884217131,36933
2015,,0,0.7675216923308795,27341,0.7465005422320339,25464,0.7786669584599959,37943,0.7905148971403263,52436,0.7886387995940818,36933
2016,,0,0.7882445599159088,27341,0.7849147216521457,25464,0.754504410277845,37943,0.7912875481431224,52436,0.8042320590946797,36933
2017,,0,0.77964589896433,27341,0.7838557058622259,25464,0.774087001054276,37943,0.7521162148518967,52436,0.7707412114650544,36933
2018,,0,0.7863825607801196,27341,0.7934275610610709,25464,0.7880004587671177,37943,0.7782687653765572,52436,0.7450608182878715,36933
2019,,0,0.7802749703788828,27341,0.7831028998170642,25464,0.7832976776749841,37943,0.7810369669552611,52436,0.7715568553813197,36933
2020,,0,0.7939668355821522,27341,0.7967887648786373,25464,0.7944663410569123,37943,0.7946030331147983,52436,0.7928261619928708,36933
2021,,0,0.7916251249576167,27341,0.7935661139715694,25464,0.7912427966864867,37943,0.7919298104771308,52436,0.7949368243487932,36933
2022,,0,0.782523660877292,27341,0.783269243762694,25464,0.7792901138975526,37943,0.7801788743700911,52436,0.7813673644820943,36933
2023,,0,0.7913878811616178,27341,0.7913666727497811,25464,0.7902889629147688,37943,0.7918188870155185,52436,0.7903768494296384,36933
