code,mean_h,median_h,sd_h,footprints
14,14.905608479280719,13.739166688919067,9.333506546550892,1890
16,15.145943176434386,13.252592557742272,9.960340056913642,3127
18,14.5674937080131,13.754027764002482,8.342586437756234,2813
20,15.65066200741004,14.252307647313827,9.550657620127035,2812
22,14.873482008410472,13.246571377345495,9.53092841464352,1655
