ADM2_NAME,loss_2001,loss_2002,loss_2003,loss_2004,loss_2005,loss_2006,loss_2007,loss_2008,loss_2009,loss_2010,loss_2011,loss_2012,loss_2013,loss_2014,loss_2015,loss_2016,loss_2017,loss_2018,loss_2019,loss_2020,loss_2021,loss_2022,loss_2023
Bandarban,1048.0099014217947,612.8886032315446,412.5761190141825,542.3642228469253,1045.9874481230972,845.6854648452179,846.930810662841,1187.066139911203,1348.769967792841,1014.543128795133,1485.7615135791837,2542.3658558482052,3681.9960899523367,6322.82041800183,7073.627142153738,12202.046068632926,13683.854264579219,9377.665737680129,11651.552127440653,9407.830382429593,6976.583802625538,5823.810447183632,6386.421296986469
Khagrachhari,764.5018538175552,875.9750340036318,450.85994309388536,755.6551850345495,479.1533810471203,2079.2877114890543,750.840103044463,815.2448170512039,723.6372631050792,656.142069859686,597.1629366503919,527.5440832952074,589.8852226448117,1001.6944232466757,846.8618433061769,1652.2450497514478,3722.7643688588755,2153.8376020784767,2658.3610442866293,3118.2650372397375,2495.9692877880207,2079.6479139735297,2778.2124798904742
Rangamati,977.8734514894148,1136.6588513979723,538.290714477733,899.3788886382008,616.0650675905395,1964.4253284172396,815.8031470194459,841.8123746036314,1470.620250424918,1048.421001554412,574.7762642483792,1079.0137397515714,1271.1671061307777,4001.3578651749326,3534.2994049576273,5760.313926258508,8750.850869032596,6025.797248030178,6663.606576952427,7102.853195196622,6383.443001748652,4308.864057046993,6338.559093229999
